Class Name,Objects,Shallow Heap,
kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$Entry,2167,52008,
org.languagetool.rules.patterns.StringMatcher$3,1605,51360,
java.util.concurrent.ConcurrentLinkedQueue$Node,2127,51048,
javax.swing.ArrayTable,3160,50560,
kotlin.reflect.jvm.internal.impl.types.SimpleTypeImpl,1261,50440,
org.h2.mvstore.cache.CacheLongKeyLIRS$Entry,783,50112,
org.jetbrains.plugins.textmate.language.syntax.TextMateCapture$Rule,3118,49888,
com.intellij.util.containers.ConcurrentIntObjectHashMap$Node[],157,49648,
com.intellij.util.keyFMap.PairElementsFMap,1546,49472,
com.intellij.psi.impl.java.stubs.impl.PsiTypeParameterListStubImpl,1541,49312,
com.intellij.util.lang.Loader[],1894,49232,
sun.reflect.generics.tree.SimpleClassTypeSignature,2040,48960,
java.lang.ThreadLocal$ThreadLocalMap$Entry[],83,48944,
com.intellij.psi.impl.PsiParameterizedCachedValue$Direct,2018,48432,
kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$MapBasedMemoizedFunction,1993,47832,
com.intellij.serialization.PropertyAccessor,1479,47328,
jdk.internal.reflect.DirectMethodHandleAccessor,1472,47104,
org.codehaus.groovy.ast.Parameter,653,47016,
io.opentelemetry.sdk.metrics.internal.state.AsynchronousMetricStorage,732,46848,
kotlinx.coroutines.channels.ChannelSegment,1170,46800,
java.util.Hashtable,974,46752,
java.util.concurrent.locks.ReentrantReadWriteLock,1945,46680,
java.lang.Exception,1165,46600,
com.intellij.util.io.ResizeableMappedFile,1161,46440,
com.fasterxml.jackson.databind.introspect.AnnotationMap,2896,46336,
ai.grazie.spell.dictionary.rule.ReplacingRuleDictionary$Descriptor,1924,46176,
org.languagetool.rules.patterns.PatternToken$PosToken,1922,46128,
com.intellij.patterns.compiler.PatternCompilerImpl$Node,1912,45888,
sun.font.AttributeValues,476,45696,
com.fasterxml.aalto.in.PNameC,1424,45568,
kotlin.reflect.jvm.internal.impl.descriptors.impl.ValueParameterDescriptorImpl,946,45408,
com.intellij.psi.impl.source.PsiClassReferenceType,1410,45120,
com.intellij.codeInsight.daemon.impl.HighlightInfo$OffsetStore,1409,45088,
com.intellij.psi.impl.compiled.ClsMemberImpl$$Lambda+0x000000a0041aee60,2813,45008,
sun.security.util.ObjectIdentifier,1399,44768,
groovyjarjarantlr4.v4.runtime.dfa.DFAState,1115,44600,
java.util.regex.Pattern$$Lambda+0x800000058,1856,44544,
java.util.concurrent.atomic.AtomicReferenceArray,2753,44048,
com.intellij.util.io.PersistentBTreeEnumerator,421,43784,
java.util.regex.Pattern$BranchConn,2716,43456,
com.intellij.psi.impl.java.stubs.impl.PsiParameterListStubImpl,1358,43456,
com.intellij.ide.plugins.PluginContentDescriptor$ModuleItem,1085,43400,
com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$Node,1353,43296,
kotlin.reflect.jvm.internal.impl.load.java.descriptors.JavaMethodDescriptor,416,43264,
com.intellij.util.io.PersistentMapImpl,415,43160,
com.intellij.codeInspection.bytecodeAnalysis.EKey,1797,43128,
org.codehaus.groovy.ast.MethodNode,485,42680,
com.intellij.ui.IconDeferrerImpl$$Lambda+0x000000a0032d2a30,1777,42648,
kotlin.reflect.jvm.internal.impl.types.TypeProjection[],1776,42624,
com.intellij.openapi.actionSystem.impl.ActionManagerImpl$$Lambda+0x000000a0024704d0,1776,42624,
kotlin.reflect.jvm.internal.impl.types.IndexedParametersSubstitution,1776,42624,
com.intellij.codeInspection.bytecodeAnalysis.DirectionResultPair,1769,42456,
com.intellij.platform.plugins.parser.impl.elements.ActionElement$ActionDescriptorAction,1319,42208,
kotlinx.coroutines.internal.ScopeCoroutine,1318,42176,
java.io.FileDescriptor,1049,41960,
groovyjarjarantlr4.v4.runtime.atn.ArrayPredictionContext,1739,41736,
kotlinx.coroutines.InvokeOnCancelling,1040,41600,
kotlinx.coroutines.StandaloneCoroutine,1727,41448,
jdk.internal.jimage.ImageReader$Directory,1290,41280,
com.intellij.openapi.util.Key,1706,40944,
com.intellij.util.containers.ConcurrentWeakValueHashMap$MyWeakReference,1275,40800,
com.intellij.ui.components.panels.Wrapper,113,40680,
java.util.LinkedHashSet,2542,40672,
java.awt.BorderLayout,724,40544,
com.intellij.psi.impl.java.stubs.impl.PsiFieldStubImpl,844,40512,
org.jdom.ImmutableSameTypeAttributeList,1688,40512,
groovyjarjarantlr4.v4.runtime.atn.ATNConfigSet,1012,40480,
com.intellij.platform.instanceContainer.internal.LazyInstanceHolder$Initial,1671,40104,
com.intellij.codeInsight.daemon.HighlightDisplayKey,1669,40056,
com.intellij.util.containers.FreezableArrayList,1664,39936,
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket[],19,39728,
net.loomchild.segment.srx.Rule,1653,39672,
sun.reflect.generics.tree.TypeArgument[],2040,39576,
com.intellij.util.lang.StrippedLongToObjectMap,819,39312,
org.languagetool.rules.patterns.StringMatcher$2,1637,39288,
io.opentelemetry.sdk.internal.ThrottlingLogger,1220,39040,
com.intellij.patterns.ObjectPattern$1,1619,38856,
com.intellij.ui.icons.IconDescriptionLoader,1618,38832,
java.util.regex.Pattern$BmpCharPropertyGreedy,1606,38544,
java.util.regex.Pattern$Ques,1591,38184,
com.intellij.psi.impl.compiled.ClsTypeElementImpl,788,37824,
sun.nio.ch.FileChannelImpl$DefaultUnmapper,781,37488,
com.intellij.util.containers.WeakHashMap$WeakKey,934,37360,
com.intellij.openapi.actionSystem.Presentation$$Lambda+0x000000a0024a59c0,2330,37280,
com.intellij.util.io.IntToIntBtree,423,37224,
com.intellij.openapi.wm.impl.IdeBackgroundUtil$MyGraphics,1161,37152,
com.intellij.codeInsight.template.impl.TemplateImpl,516,37152,
java.util.regex.Pattern$CharProperty,1545,37080,
ai.grazie.rules.common.MultiWordSpelling$Phrase,1154,36928,
com.intellij.psi.impl.cache.ExternalTypeAnnotationContainer,1535,36840,
com.intellij.psi.impl.java.stubs.impl.PsiClassStubImpl,650,36400,
com.intellij.psi.impl.source.tree.java.PsiCodeBlockImpl,454,36320,
java.lang.Module,756,36288,
com.fasterxml.jackson.databind.introspect.MemberKey,1510,36240,
java.math.BigInteger,905,36200,
com.intellij.platform.workspace.storage.impl.EntityPointerImpl,1499,35976,
org.jdom.AttributeList,1121,35872,
com.intellij.psi.stubs.MostlyUShortIntList,1486,35664,
kotlinx.coroutines.internal.Removed,2216,35456,
com.intellij.psi.impl.source.tree.java.ReferenceListElement,491,35352,
com.intellij.openapi.util.registry.RegistryValue,631,35336,
com.intellij.openapi.actionSystem.impl.ActionManagerImplKt$$Lambda+0x000000a0024a5498,1103,35296,
kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$MapBasedMemoizedFunctionToNotNull,1460,35040,
java.util.concurrent.ConcurrentHashMap$KeySetView,1451,34824,
kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$JvmPropertySignature,621,34776,
com.fasterxml.jackson.databind.deser.impl.FieldProperty,434,34720,
org.languagetool.rules.SuggestionWithMessage,1442,34608,
io.opentelemetry.sdk.metrics.internal.descriptor.AutoValue_MetricDescriptor,864,34560,
java.util.regex.Pattern$BitClass,2155,34480,
com.intellij.openapi.actionSystem.impl.ActionManagerImplKt$$Lambda+0x000000a0024bab28,1074,34368,
jdk.internal.ref.Cleaner,854,34160,
sun.security.util.DerInputStream,852,34080,
java.time.format.DateTimeFormatterBuilder$PrefixTree,847,33880,
com.intellij.codeInsight.intention.impl.config.IntentionActionWrapper,1058,33856,
com.intellij.indexing.shared.util.zipFs.UncompressedZipPath,1406,33744,
org.codehaus.groovy.reflection.CachedMethod,525,33600,
kotlinx.coroutines.channels.BufferedChannel$emitAllInternal$1,698,33504,
org.codehaus.groovy.ast.GenericsType,598,33488,
