Class Name,Shallow Heap,Retained Heap,
java.lang.String @ 0x780007308  Management agent class not found,24,72,
java.lang.String @ 0x780007350  agent.err.agentclass.notfound,24,72,
java.lang.String @ 0x780007398  Management agent class failed ,24,72,
java.lang.String @ 0x7800073e0  agent.err.agentclass.failed,24,72,
java.lang.String @ 0x780007428  Access to premain(String) is denied,24,80,
java.lang.String @ 0x780007478  agent.err.agentclass.access.denied,24,80,
java.lang.String @ 0x7800074c8  Failed in reading the access file,24,80,
java.lang.String @ 0x780007518  agent.err.access.file.read.failed,24,80,
java.lang.String @ 0x780007568  Access file is not specified but com.sun.management.jmxremote.authenticate=true,24,120,
java.lang.String @ 0x7800075e0  agent.err.access.file.notset,24,72,
java.lang.String @ 0x780007628  Access file not found,24,64,
java.lang.String @ 0x780007668  agent.err.access.file.notfound,24,72,
java.lang.String @ 0x7800076b0  Access file not readable,24,64,
java.lang.String @ 0x7800076f0  agent.err.access.file.not.readable,24,80,
java.lang.String @ 0x780007740  Starting JMX Connector Server:,24,72,
java.lang.String @ 0x780007788  jmxremote.ConnectorBootstrap.starting,24,80,
java.lang.String @ 0x7800077d8  JMX Connector ready at: {0},24,72,
java.lang.String @ 0x780007820  jmxremote.ConnectorBootstrap.ready,24,80,
java.lang.String @ 0x780007870  Password file read access must be restricted: {0},24,96,
java.lang.String @ 0x7800078d0  jmxremote.ConnectorBootstrap.password.readonly,24,88,
java.lang.String @ 0x780007928  No Authentication,24,64,
java.lang.String @ 0x780007968  jmxremote.ConnectorBootstrap.noAuthentication,24,88,
java.lang.String @ 0x7800079c0  File read access must be restricted: {0},24,80,
java.lang.String @ 0x780007a10  jmxremote.ConnectorBootstrap.file.readonly,24,88,
java.lang.String @ 0x780007a68  Warning,24,48,
java.lang.String @ 0x780007a98  agent.err.warning,24,64,
java.lang.String @ 0x780007ad8  premain(String) does not exist in agent class,24,88,
java.lang.String @ 0x780007b30  agent.err.premain.notfound,24,72,
java.lang.String @ 0x780007b78  Failed in reading the password file,24,80,
java.lang.String @ 0x780007bc8  agent.err.password.file.read.failed,24,80,
java.lang.String @ 0x780007c18  Password file is not specified but com.sun.management.jmxremote.authenticate=true,24,128,
java.lang.String @ 0x780007c98  agent.err.password.file.notset,24,72,
java.lang.String @ 0x780007ce0  Password file not found,24,64,
java.lang.String @ 0x780007d20  agent.err.password.file.notfound,24,72,
java.lang.String @ 0x780007d68  Password file not readable,24,72,
java.lang.String @ 0x780007db0  agent.err.password.file.not.readable,24,80,
java.lang.String @ 0x780007e00  Password file read access must be restricted,24,88,
java.lang.String @ 0x780007e58  agent.err.password.file.access.notrestricted,24,88,
java.lang.String @ 0x780007eb0  Invalid agent state: {0},24,64,
java.lang.String @ 0x780007ef0  agent.err.invalid.state,24,64,
java.lang.String @ 0x780007f30  Invalid option specified,24,64,
java.lang.String @ 0x780007f70  agent.err.invalid.option,24,64,
java.lang.String @ 0x780007fb0  Invalid com.sun.management.jmxremote.rmi.port number,24,96,
java.lang.String @ 0x780008010  agent.err.invalid.jmxremote.rmi.port,24,80,
java.lang.String @ 0x780008060  Invalid com.sun.management.jmxremote.port number,24,88,
java.lang.String @ 0x7800080b8  agent.err.invalid.jmxremote.port,24,72,
java.lang.String @ 0x780008100  Invalid com.sun.management.agent.class property value,24,96,
java.lang.String @ 0x780008160  agent.err.invalid.agentclass,24,72,
java.lang.String @ 0x7800081a8  Failed in reading the file,24,72,
java.lang.String @ 0x7800081f0  agent.err.file.read.failed,24,72,
java.lang.String @ 0x780008238  File not specified,24,64,
java.lang.String @ 0x780008278  agent.err.file.not.set,24,64,
java.lang.String @ 0x7800082b8  File not readable,24,64,
java.lang.String @ 0x7800082f8  agent.err.file.not.readable,24,72,
java.lang.String @ 0x780008340  File not found,24,56,
java.lang.String @ 0x780008378  agent.err.file.not.found,24,64,
java.lang.String @ 0x7800083b8  File read access must be restricted,24,80,
java.lang.String @ 0x780008408  agent.err.file.access.not.restricted,24,80,
java.lang.String @ 0x780008458  Export of JMX connector address to instrumentation buffer failed,24,104,
java.lang.String @ 0x7800084c0  agent.err.exportaddress.failed,24,72,
java.lang.String @ 0x780008508  Exception thrown by the agent ,24,72,
java.lang.String @ 0x780008550  agent.err.exception,24,64,
java.lang.String @ 0x780008590  agent.err.error,24,56,
java.lang.String @ 0x7800085c8  jdk.internal.agent.resources.agent,24,80,
java.lang.String @ 0x780009778  void unbind(java.lang.String),24,72,
"java.lang.String @ 0x7800097c0  void rebind(java.lang.String, java.rmi.Remote)",24,88,
java.lang.String @ 0x780009818  java.rmi.Remote lookup(java.lang.String),24,80,
