Class Name,Shallow Heap,Retained Heap,
byte[6] @ 0x788818c30  zero_L,24,24,
byte[68] @ 0x788818e58  (Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/invoke/MemberName;)V,88,88,
byte[13] @ 0x788818fe0  invokeSpecial,32,32,
byte[41] @ 0x7888193d0  (JLjava/lang/Object;ILjava/lang/Object;)J,64,64,
byte[40] @ 0x788819620  (Ljava/lang/Object;ILjava/lang/Object;)J,56,56,
byte[22] @ 0x788819c98  (ILjava/lang/Object;)J,40,40,
byte[23] @ 0x78881a3c0  (JLjava/lang/Object;I)J,40,40,
byte[20] @ 0x78881a480  /jdk.crypto.cryptoki,40,40,
byte[24] @ 0x78881a4c0  jrt:/jdk.crypto.cryptoki,40,40,
byte[13] @ 0x78881a920  /jdk.jconsole,32,32,
byte[17] @ 0x78881a958  jrt:/jdk.jconsole,40,40,
byte[13] @ 0x78881bcd0  /java.desktop,32,32,
byte[17] @ 0x78881bd08  jrt:/java.desktop,40,40,
byte[18] @ 0x78881bf80  /java.datatransfer,40,40,
byte[22] @ 0x78881bfc0  jrt:/java.datatransfer,40,40,
byte[15] @ 0x78881c368  /jdk.httpserver,32,32,
byte[19] @ 0x78881c3a0  jrt:/jdk.httpserver,40,40,
byte[15] @ 0x78881c800  invokeInterface,32,32,
byte[13] @ 0x78881c880  getMBeanCount,32,32,
byte[40] @ 0x78881ccc0  java.lang.management.MemoryManagerMXBean,56,56,
byte[7821] @ 0x78881d318   af af-Latn-ZA af-NA af-ZA agq agq-CM agq-Latn-CM ak ak-GH ak-Latn-GH am am-ET am-Ethi-ET ann ann-Latn-NG ann-NG ar ar-001 ar-AE ar-Arab-EG ar-BH ar-DJ ar-DZ ar-EG ar-EH ar-ER ar-IL ar-IQ ar-JO ar-KM ar-KW ar-LB ar-LY ar-MA ar-MR ar-OM ar-PS ar-QA ar-SA ar...,7840,7840,
byte[22] @ 0x78881f4f0  (Ljava/lang/Object;I)J,40,40,
byte[4] @ 0x78881fa58  (I)J,24,24,
byte[7] @ 0x78881fec0  getType,24,24,
byte[48] @ 0x788821af8  jdk.internal.loader.ClassLoaders$BootClassLoader,64,64,
byte[59] @ 0x788821fa8  (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;J)J,80,80,
byte[88] @ 0x7888222f0  (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;JLjava/lang/invoke/MemberName;)J,104,104,
byte[13] @ 0x788822490  invokeSpecial,32,32,
byte[77] @ 0x7888225d0  (Ljava/lang/Object;Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;J)J,96,96,
byte[41] @ 0x788822808  (JLjava/lang/Object;Ljava/lang/Object;J)J,64,64,
byte[15] @ 0x788822e80  /java.scripting,32,32,
byte[19] @ 0x788822eb8  jrt:/java.scripting,40,40,
byte[16] @ 0x7888236c0  /java.xml.crypto,32,32,
byte[20] @ 0x7888236f8  jrt:/java.xml.crypto,40,40,
byte[24] @ 0x788823a60  /jdk.unsupported.desktop,40,40,
byte[28] @ 0x788823aa0  jrt:/jdk.unsupported.desktop,48,48,
byte[9] @ 0x788823f68  /java.sql,32,32,
byte[13] @ 0x788823fa0  jrt:/java.sql,32,32,
byte[20] @ 0x788824238  /java.transaction.xa,40,40,
byte[24] @ 0x788824278  jrt:/java.transaction.xa,40,40,
byte[9] @ 0x7888245b8  /jdk.sctp,32,32,
byte[13] @ 0x7888245f0  jrt:/jdk.sctp,32,32,
byte[18] @ 0x7888249c8  /jdk.accessibility,40,40,
byte[22] @ 0x788824a08  jrt:/jdk.accessibility,40,40,
byte[10] @ 0x788824fc8  reinvoke_L,32,32,
byte[58] @ 0x788825678  (JLjava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)J,80,80,
byte[10] @ 0x788825e78  reinvoke_L,32,32,
byte[18] @ 0x788826370  /jdk.security.jgss,40,40,
byte[22] @ 0x7888263b0  jrt:/jdk.security.jgss,40,40,
byte[13] @ 0x788826940  /jdk.jpackage,32,32,
byte[17] @ 0x788826978  jrt:/jdk.jpackage,40,40,
byte[16] @ 0x788826e18  /java.sql.rowset,32,32,
byte[20] @ 0x788826e50  jrt:/java.sql.rowset,40,40,
byte[12] @ 0x788827248  /jdk.jartool,32,32,
byte[16] @ 0x788827280  jrt:/jdk.jartool,32,32,
byte[17] @ 0x7888275a0  /java.smartcardio,40,40,
byte[21] @ 0x7888275e0  jrt:/java.smartcardio,40,40,
byte[12] @ 0x788827a40  /jdk.editpad,32,32,
byte[16] @ 0x788827a78  jrt:/jdk.editpad,32,32,
byte[13] @ 0x78882fa18  getObjectName,32,32,
byte[7] @ 0x78882faa8  isValid,24,24,
byte[7] @ 0x78882fb30  getName,24,24,
byte[18] @ 0x78882fbd8  getMemoryPoolNames,40,40,
byte[62] @ 0x78882fc30  (Ljava/lang/management/MemoryManagerMXBean;)Ljava/lang/String;,80,80,
byte[15] @ 0x78882fea0  invokeInterface,32,32,
byte[20] @ 0x78882ff48  ()Ljava/lang/String;,40,40,
byte[43] @ 0x7888300d0  java.lang.management.GarbageCollectorMXBean,64,64,
byte[17] @ 0x7888301a8  getCollectionTime,40,40,
byte[14] @ 0x788832630  invokeExact_MT,32,32,
byte[3] @ 0x7888327b0  ()J,24,24,
byte[7] @ 0x7888328b8  boxLong,24,24,
byte[18] @ 0x788832958  getCollectionCount,40,40,
byte[32] @ 0x788832b48  java.lang.management.MemoryUsage,48,48,
byte[8] @ 0x788832c30  getClass,24,24,
byte[6] @ 0x788832ca0  ...Y..,24,24,
byte[6] @ 0x788832d98  getMax,24,24,
byte[40] @ 0x788832f20  javax.management.openmbean.CompositeData,56,56,
byte[16] @ 0x788833060  serialVersionUID,32,32,
byte[5] @ 0x788835678  'app',24,24,
byte[17] @ 0x788835818  java.lang.Integer,40,40,
byte[18] @ 0x788835888  java.lang.Runnable,40,40,
byte[15] @ 0x7888358f8  java.util.Deque,32,32,
byte[15] @ 0x788835960  java.lang.Error,32,32,
byte[31] @ 0x7888359c8  java.lang.NoSuchMethodException,48,48,
byte[16] @ 0x788835a40  java.lang.System,32,32,
byte[15] @ 0x788835aa8  java.net.Socket,32,32,
byte[34] @ 0x788835b10  java.lang.invoke.LambdaMetafactory,56,56,
byte[19] @ 0x788835b90  java.lang.Throwable,40,40,
byte[30] @ 0x788835c30  java.security.AccessController,48,48,
byte[22] @ 0x788835ca8  java.io.BufferedReader,40,40,
byte[36] @ 0x788835d18  java.lang.invoke.StringConcatFactory,56,56,
byte[16] @ 0x788835d98  java.lang.Object,32,32,
byte[15] @ 0x788835e00  java.lang.Class,32,32,
byte[24] @ 0x788835e68  jdk.internal.agent.Agent,40,40,
